ID,Title,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Milestone,Preconditions,Priority,References,Section,Section Depth,Section Description,Steps,Steps Separated,Steps Separated (Expected Result),Steps Separated (Step),Suite,Suite ID,Type,Updated By,Updated On
C27118134,Main Page - App Restoration,,Greg Caron,4/8/22 17:38,,"THEN the batter logo screen appears (indicating a cold start)
AND the home tab appears at the bottom of the app",,,"GIVEN a user
AND on iOS devices, Settings/Developer/Fast App Termination is set to on

To do: Is a similar setting needed/available on Android?",2 - Medium Priority,,Home Surface/Main Page,0,,"WHEN the app is put in the background for >30s
AND the app is restored to the foreground",,,,Home Feed,S497381,Manual,Greg Caron,4/8/22 17:38
C27118135,Main Page - Apollo Environment switching - Internal builds,,Greg Caron,4/8/22 17:38,,"THEN the Apollo environment api endpoint will change as follows:

PROD: https://data-graph.mlb.com/graphql
QA: https://data-graph-qa.mlb.com/graphql
BETA: https://data-graph-beta.mlb.com/graphql

Standalone versions and current android version also can switch to the following:
DEV: https://data-graph-dev.mlb.com/graphql
QA: https://data-graph-qa.mlb.com/graphql
MASTER: https://data-graph-master.mlb.com/graphql (set by selecting 'staging' on iOS)",,,GIVEN a user running an internal or debug build,2 - Medium Priority,"HOMES-114, HOMES-115",Home Surface/Main Page,0,,WHEN the environment is changed,,,,Home Feed,S497381,Manual,Greg Caron,6/10/22 15:55
C27118136,Main Page - Team Color Overrides,,Greg Caron,4/8/22 17:38,,,,,"GIVEN that a team color is overridden in ex. https://atbatappconfig.mlb.com/ios/15.0.0/TeamBranding.json

ex. file contents:

{
""teams"": {
""kc"": {
""colors"": {
""spotColor"": ""#FF0000""
},
""images"": {
""spotLogo"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Windows_Settings_app_icon.png/600px-Windows_Settings_app_icon.png""
}
}
}
}",2 - Medium Priority,HOMES-31,Home Surface/Main Page,0,,,"1. WHEN the app is restarted
Expected Result:
THEN TeamBranding.json will be read
2. WHEN ex. a KC story is viewed in the headline stack
Expected Result:
THEN the spot background color will be ex. red
3. WHEN the scoreboard is opened and a past ex. Royals game is navigated to



Expected Result:
THEN ex. the Game Story Royals icon should be red and logo should be a gear
4. WHEN the scoreboard is opened and a future ex. Royals game is navigated to
AND the scoreboard is expanded by tapping
AND the ?preview? button is tapped


Expected Result:
THEN the Gameday Matchup ex. Royals background should be red and logo should be a gear","1. THEN TeamBranding.json will be read
2. THEN the spot background color will be ex. red
3. THEN ex. the Game Story Royals icon should be red and logo should be a gear
4. THEN the Gameday Matchup ex. Royals background should be red and logo should be a gear","1. WHEN the app is restarted
2. WHEN ex. a KC story is viewed in the headline stack
3. WHEN the scoreboard is opened and a past ex. Royals game is navigated to



4. WHEN the scoreboard is opened and a future ex. Royals game is navigated to
AND the scoreboard is expanded by tapping
AND the ?preview? button is tapped",Home Feed,S497381,Manual,Greg Caron,4/8/22 17:38
C27118137,Main Page - Pull-down refresh,fasttrack-automatable,Greg Caron,4/8/22 17:38,,"THEN a progress bar will show atop the content
AND when the data refresh is complete
AND the progress will dismiss

NOTES
- If there is a request error, cached data should display.",266s,Appium/Swift UI,GIVEN a user is scrolled to top of Home Surface,2 - Medium Priority,DISCO-302,Home Surface/Main Page,0,,WHEN they pull down on the home surface view,,,,Home Feed,S497381,Manual,Giancarlo Bianchi,1/16/24 17:25
C27118141,Main Page - Basic navigation to App fragments and browser tabs Deprecate,,Greg Caron,4/8/22 17:38,,HomeFeedContentItemInteractor,,,GIVEN a user on the Home surface,2 - Medium Priority,,Home Surface/Main Page,0,,,"1. WHEN one of the items in the Game Stories carousel is clicked



Expected Result:
THEN the user is redirected to a browser tab where the minutely content is visible
2. WHEN one of the items in the Content Carousel section is clicked



Expected Result:
THEN the user is redirected to the Videos fragment in the MLB app
3. WHEN an Article in the Headline Stack is clicked



Expected Result:
THEN the user is redirected to the News article fragment in the MLB app
4. WHEN an Article in the Mixed Feed is clicked





Expected Result:
THEN the user is redirected to the News article fragment in the MLB app
5. WHEN a Video in the Mixed Feed is clicked



Expected Result:
THEN the user is redirected to the Videos fragment in the MLB app
6. WHEN VSM or Short content in the Mixed Feed is clicked



Expected Result:
THEN the user is redirected to a browser tab where the URL from the VSM model is loaded
7. WHEN VSM or Short content in the Headline Stack is clicked
Expected Result:
THEN the user is redirected to a browser tab where the URL from the VSM model is loaded","1. THEN the user is redirected to a browser tab where the minutely content is visible
2. THEN the user is redirected to the Videos fragment in the MLB app
3. THEN the user is redirected to the News article fragment in the MLB app
4. THEN the user is redirected to the News article fragment in the MLB app
5. THEN the user is redirected to the Videos fragment in the MLB app
6. THEN the user is redirected to a browser tab where the URL from the VSM model is loaded
7. THEN the user is redirected to a browser tab where the URL from the VSM model is loaded","1. WHEN one of the items in the Game Stories carousel is clicked



2. WHEN one of the items in the Content Carousel section is clicked



3. WHEN an Article in the Headline Stack is clicked



4. WHEN an Article in the Mixed Feed is clicked





5. WHEN a Video in the Mixed Feed is clicked



6. WHEN VSM or Short content in the Mixed Feed is clicked



7. WHEN VSM or Short content in the Headline Stack is clicked",Home Feed,S497381,Manual,Giancarlo Bianchi,9/18/23 15:49
C27118144,"Main Page - Limit Content Carousel, Headline Stack, and Mixed Feed Items",not-fasttrack,Greg Caron,4/8/22 17:38,,,245s,,GIVEN a user on the Homepage,2 - Medium Priority,DISCO-296,Home Surface/Main Page,0,,,"1. WHEN SEE ALL is tapped above the Content Carousel, opening the entire list
Expected Result:
THEN the number of items counted will be <=25
2. WHEN More Articles is tapped below the Article stack, opening the entire stack
Expected Result:
THEN the number of items counted will be <=25
3. WHEN the entire Mixed Feed is viewed
Expected Result:
THEN the number of items counted will be <=25","1. THEN the number of items counted will be <=25
2. THEN the number of items counted will be <=25
3. THEN the number of items counted will be <=25","1. WHEN SEE ALL is tapped above the Content Carousel, opening the entire list
2. WHEN More Articles is tapped below the Article stack, opening the entire stack
3. WHEN the entire Mixed Feed is viewed",Home Feed,S497381,Manual,Giancarlo Bianchi,1/16/24 17:25
C28594025,Main Page - Navigation Return from news deep link,fasttrack-automatable,Greg Caron,5/24/22 15:55,,THEN the user is returned to the home surface,423s,,GIVEN a user on the home surface,2 - Medium Priority,DISCO-479,Home Surface/Main Page,0,,"WHEN a deep link to a news article is tapped
AND then the back button is clicked",,,,Home Feed,S497381,Manual,Giancarlo Bianchi,1/16/24 17:25
C28640962,Main Page -  Home Surface version in settings,,Greg Caron,6/2/22 16:45,,THEN I can identify the version of the Home Surface Micro App that I am viewing,,,GIVEN a MLB App Tester,2 - Medium Priority,DISCO-503,Home Surface/Main Page,0,,WHEN I open the the About MLB page,,,,Home Feed,S497381,Manual,Greg Caron,6/2/22 16:47
C29160019,Main Page - setting change refresh triggers,not-automatable,Greg Caron,8/26/22 14:09,,,416s,,GIVEN a user on the Home surface,2 - Medium Priority,,Home Surface/Main Page,0,,,"1. WHEN the language is changed in device settings
Expected Result:
THEN the page will refresh
AND the new language setting will be applied to all sections
2. WHEN the font size is changed
Expected Result:
THEN the page will refresh
AND the new font setting will be applied to all sections
3. WHEN light/dark mode is changed
AND the app is set to use device setting
Expected Result:
THEN the page will refresh
AND the new display mode setting will be applied","1. THEN the page will refresh
AND the new language setting will be applied to all sections
2. THEN the page will refresh
AND the new font setting will be applied to all sections
3. THEN the page will refresh
AND the new display mode setting will be applied","1. WHEN the language is changed in device settings
2. WHEN the font size is changed
3. WHEN light/dark mode is changed
AND the app is set to use device setting",Home Feed,S497381,Manual,Giancarlo Bianchi,1/16/24 17:25
C29309387,Main Page - Support Inline Adaptive Banner Ad Size,,Marco Osuna,9/19/22 14:34,,,,,,2 - Medium Priority,"DISCO-542, DISCO-543",Home Surface/Main Page,0,,,"1. GIVEN that I have an ad module
WHEN I have not added a unit ID

Expected Result:
THEN the ad will send the default unit id to google ad platform
2. GIVEN that I have an ad module in a team surface
WHEN I have added a unit ID
AND I have added a template values in the unit id for ${siteId}, ${account}, ${platform}, and ${team}

ex. /${siteId}/${account}/${team}/home/${platform}

*Where:
siteId = 2605
account = paid / free in our case it will always be free
platform = android
Expected Result:
THEN the ad will send the composed path to google ad manager replacing ${siteid}, ${account}, ${platform}, and ${team} with appropriate values
3. GIVEN that I have an ad module in a team surface
WHEN I have not set a max width

Expected Result:
THEN the ad should leverage the screen size as the width
4. GIVEN that I have an ad module in a team surface
WHEN I have set a max width

Expected Result:
THEN the ad should leverage the max width to determine size
5. GIVEN that I have an ad module in a team surface
WHEN I have not set a max height

Expected Result:
THEN google ad manager should pick a height for the ad
6. GIVEN that I have an ad module in a team surface
WHEN I have set a max height

Expected Result:
THEN the ad should fit within the max height
7. GIVEN that I have an ad module in a team surface
WHEN I have not set a URL

Expected Result:
THEN the default URL should be passed to google ad manager
8. GIVEN that I have an ad module in a team surface
WHEN I have set a URL with a template value of ${team}

Expected Result:
THEN the the url should be passed to google ad manager and the team template should be populated","1. THEN the ad will send the default unit id to google ad platform
2. THEN the ad will send the composed path to google ad manager replacing ${siteid}, ${account}, ${platform}, and ${team} with appropriate values
3. THEN the ad should leverage the screen size as the width
4. THEN the ad should leverage the max width to determine size
5. THEN google ad manager should pick a height for the ad
6. THEN the ad should fit within the max height
7. THEN the default URL should be passed to google ad manager
8. THEN the the url should be passed to google ad manager and the team template should be populated","1. GIVEN that I have an ad module
WHEN I have not added a unit ID

2. GIVEN that I have an ad module in a team surface
WHEN I have added a unit ID
AND I have added a template values in the unit id for ${siteId}, ${account}, ${platform}, and ${team}

ex. /${siteId}/${account}/${team}/home/${platform}

*Where:
siteId = 2605
account = paid / free in our case it will always be free
platform = android
3. GIVEN that I have an ad module in a team surface
WHEN I have not set a max width

4. GIVEN that I have an ad module in a team surface
WHEN I have set a max width

5. GIVEN that I have an ad module in a team surface
WHEN I have not set a max height

6. GIVEN that I have an ad module in a team surface
WHEN I have set a max height

7. GIVEN that I have an ad module in a team surface
WHEN I have not set a URL

8. GIVEN that I have an ad module in a team surface
WHEN I have set a URL with a template value of ${team}",Home Feed,S497381,Manual,Greg Caron,11/4/22 17:56
