ID,Title,Created By,Created On,Estimate,Forecast,Forecast,Milestone,Preconditions,Priority,References,Section,Section Depth,Section Description,Steps,Steps Separated,Steps Separated (Expected Result),Steps Separated (Step),Suite,Suite ID,Type,Updated By,Updated On
C30012373,TC01 - Network deeplink,Marco Osuna,1/25/2023 5:59 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.

Acceptance Criteria

We?d like to have the following link capabilities:

Deep Link: Linking to native in app experiences (e.g.e Stats)

Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)

Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.
Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a network deeplink.
E.G. MLB Network button.
Expected Result:
MLB networks screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.
Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://network. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
MLB networks screen should be displayed.","1. Browse menu should be displayed correctly.
2. MLB networks screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. MLB networks screen should be displayed.","1. Open MLB app and navigate to browse menu.
2. Click on any button that has a network deeplink.
E.G. MLB Network button.
3. Click on back button.
4. Force quit app. Open any text editor and type mlbatbat://network. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:01 PM
C30012374,TC02 - Webview Deeplink,Marco Osuna,1/25/2023 5:59 PM,,,,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.

Acceptance Criteria

We?d like to have the following link capabilities:

Deep Link: Linking to native in app experiences (e.g.e Stats)

Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)

Native Deep Link: Linking to native destinations within the app",2 - Medium Priority,,MLBAPP/Deep Link,0,,,"1. Open MLB app and navigate to browse menu.
Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a webview deeplink.
E.G. Hero Image.
Expected Result:
MLB webview screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.
Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://webview?url=ANYURLHERE. Then click on the link.
Expected Result:
MLB webview screen should be displayed.","1. Browse menu should be displayed correctly.
2. MLB webview screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. MLB webview screen should be displayed.","1. Open MLB app and navigate to browse menu.
2. Click on any button that has a webview deeplink.
E.G. Hero Image.
3. Click on back button.
4. Force quit app. Open any text editor and type mlbatbat://webview?url=ANYURLHERE. Then click on the link.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:01 PM
C30012375,TC03 - Teampicker Deeplink,Marco Osuna,1/25/2023 6:00 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.
Acceptance Criteria
We?d like to have the following link capabilities:
Deep Link: Linking to native in app experiences (e.g.e Stats)
Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)
Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.

Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a teampicker deeplink.
E.G. Teams button.

Expected Result:
Team picker screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.

Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://teampicker. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
Team picker screen should be displayed.","1. Browse menu should be displayed correctly.
2. Team picker screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. Team picker screen should be displayed.","1. Open MLB app and navigate to browse menu.

2. Click on any button that has a teampicker deeplink.
E.G. Teams button.

3. Click on back button.

4. Force quit app. Open any text editor and type mlbatbat://teampicker. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:08 PM
C30012376,TC04 - Stats Deeplink,Marco Osuna,1/25/2023 6:00 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.
Acceptance Criteria
We?d like to have the following link capabilities:
Deep Link: Linking to native in app experiences (e.g.e Stats)
Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)
Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.

Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a stats deeplink.
E.G. Stats button.

Expected Result:
Stats screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.

Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://stats. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
Stats screen should be displayed.","1. Browse menu should be displayed correctly.
2. Stats screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. Stats screen should be displayed.","1. Open MLB app and navigate to browse menu.

2. Click on any button that has a stats deeplink.
E.G. Stats button.

3. Click on back button.

4. Force quit app. Open any text editor and type mlbatbat://stats. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:19 PM
C30012377,TC05 - Settings Deeplink,Marco Osuna,1/25/2023 6:00 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.
Acceptance Criteria
We?d like to have the following link capabilities:
Deep Link: Linking to native in app experiences (e.g.e Stats)
Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)
Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.

Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a Settings deeplink.
E.G. Settings button.

Expected Result:
Settings screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.

Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://settings. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
Settings screen should be displayed.","1. Browse menu should be displayed correctly.
2. Settings screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. Settings screen should be displayed.","1. Open MLB app and navigate to browse menu.

2. Click on any button that has a Settings deeplink.
E.G. Settings button.

3. Click on back button.

4. Force quit app. Open any text editor and type mlbatbat://settings. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:13 PM
C30012378,TC06 -  Scoreboard Deeplink,Marco Osuna,1/25/2023 6:01 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.
Acceptance Criteria
We?d like to have the following link capabilities:
Deep Link: Linking to native in app experiences (e.g.e Stats)
Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)
Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.

Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a scoreboard deeplink.
E.G. Scoreboard button.

Expected Result:
Scoreboard screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.

Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://scoreboard. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
Scoreboard screen should be displayed.","1. Browse menu should be displayed correctly.
2. Scoreboard screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. Scoreboard screen should be displayed.","1. Open MLB app and navigate to browse menu.

2. Click on any button that has a scoreboard deeplink.
E.G. Scoreboard button.

3. Click on back button.

4. Force quit app. Open any text editor and type mlbatbat://scoreboard. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:14 PM
C30012379,TC07 - Roster Deeplink,Marco Osuna,1/25/2023 6:01 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.
Acceptance Criteria
We?d like to have the following link capabilities:
Deep Link: Linking to native in app experiences (e.g.e Stats)
Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)
Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.
Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a roster deeplink.
E.G. Roster button.

Expected Result:
Rosters screen should be displayed. Also a back buttons should be displayed at the top left.
3. Click on back button.

Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://roster. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
Rosters screen should be displayed.","1. Browse menu should be displayed correctly.
2. Rosters screen should be displayed. Also a back buttons should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. Rosters screen should be displayed.","1. Open MLB app and navigate to browse menu.
2. Click on any button that has a roster deeplink.
E.G. Roster button.

3. Click on back button.

4. Force quit app. Open any text editor and type mlbatbat://roster. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:16 PM
C30012380,TC08 -  Standings Deeplink,Marco Osuna,1/25/2023 6:01 PM,,,,,,2 - Medium Priority,,MLBAPP/Deep Link,0,,"We?d like to ensure all of the current more menu links are supported in the new Browse Experience. This can include deep links to other areas in the app, launching links externally in your browser, launching webviews etc.
Acceptance Criteria
We?d like to have the following link capabilities:
Deep Link: Linking to native in app experiences (e.g.e Stats)
Web View Deep Link: Linking to a webpage without leaving the app (e.g. Baseball Savant)
Native Deep Link: Linking to native destinations within the app","1. Open MLB app and navigate to browse menu.

Expected Result:
Browse menu should be displayed correctly.
2. Click on any button that has a standings deeplink.
E.G. Standings button.

Expected Result:
Standings screen should be displayed. Also a back button should be displayed at the top left.
3. Click on back button.
Expected Result:
Browse menu should be displayed correctly.
4. Force quit app. Open any text editor and type mlbatbat://standigs. Then click on the link.
Note: Some of these deeplinks do not work on Android.
Expected Result:
Standings screen should be displayed.","1. Browse menu should be displayed correctly.
2. Standings screen should be displayed. Also a back button should be displayed at the top left.
3. Browse menu should be displayed correctly.
4. Standings screen should be displayed.","1. Open MLB app and navigate to browse menu.

2. Click on any button that has a standings deeplink.
E.G. Standings button.

3. Click on back button.
4. Force quit app. Open any text editor and type mlbatbat://standigs. Then click on the link.
Note: Some of these deeplinks do not work on Android.",Master,S579322,Manual,Marco Osuna,1/26/2023 12:20 PM
C30870948,TC09 - Audio Deeplink,Marco Osuna,6/19/2023 5:49 PM,,,,,,2 - Medium Priority,MLBAPP-761,MLBAPP/Deep Link,0,,,"1. Navigate to browse menu and tap on audio deeplink.
Expected Result:
Any deep link supported by the app would open from the Browse Menu when configured",1. Any deep link supported by the app would open from the Browse Menu when configured,1. Navigate to browse menu and tap on audio deeplink.,Master,S579322,Manual,Marco Osuna,6/19/2023 5:50 PM
C29818892,TC01 - Hot Stove - Spanish translation,Marco Osuna,12/12/2022 12:34 PM,,,,,,2 - Medium Priority,,MLBAPP/Hot Stove,0,,"Scenario: Update URL For Spanish Users

GIVEN a user is using the MLB App in Spanish mode

WHEN they look at the bottom tab bar

AND Hot Stove is enabled though the OMS tool

THEN the Hot Stove destination for Spanish users will link to https://www.mlb.com/app/atbat/es/news/los-rumores-mas-recientes-del-invierno-2022-2023?t=trades-and-transactions



Scenario: Update Top Tool Bar Test to say Hot Stove

GIVEN a user is using the MLB App

WHEN they navigate to the hot stove tab

THEN the top navigation tool bar will say ?Hot Stove? and not ?Transactions?","1. Open MLB app, phone should be set up in Spanish
Expected Result:
Landing page should be displayed.
2. Navigate to Hot Stove page.
Expected Result:
Hot stove page should be displayed. Validate that page is showing the content of:
https://www.mlb.com/app/atbat/es/news/los-rumores-mas-recientes-del-invierno-2022-2023?t=trades-and-transactions
3. Validate page title.
Expected Result:
Top navigation tool bar should say ?Hot Stove? and not ?Transactions?","1. Landing page should be displayed.
2. Hot stove page should be displayed. Validate that page is showing the content of:
https://www.mlb.com/app/atbat/es/news/los-rumores-mas-recientes-del-invierno-2022-2023?t=trades-and-transactions
3. Top navigation tool bar should say ?Hot Stove? and not ?Transactions?","1. Open MLB app, phone should be set up in Spanish
2. Navigate to Hot Stove page.
3. Validate page title.",Master,S579322,Manual,Marco Osuna,12/12/2022 12:36 PM
