ID,Title,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Milestone,Preconditions,Priority,References,Section,Section Depth,Section Description,Steps,Steps Separated,Steps Separated (Expected Result),Steps Separated (Step),Suite,Suite ID,Type,Updated By,Updated On
C32110453,Articles should open from any new content preview,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,Articles should open from any new content preview using the same Manual suite as any article in the mixed feed,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110454,Videos should open from any new content preview,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,Videos should open from any new content preview using the same Manual suite as the mixed feed,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110455,VSM content should open from any new content preview,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,VSM content should open from any new content preview using the same Manual suite as the mixed feed.  This should include the special case scenarios such as opening game stories in native chrome.,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110456,Short content should open from any new content preview,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,Short content should open from any new content preview using the same Manual suite as the mixed feed.,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110457,All stories should follow the same Manual suite as the mixed feed,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,All stories should follow the same Manual suite as the mixed feed.  Changes to the URL mapping as being specified for groups should follow the same pattern present for home where grouped stories are opened (this functionality is not in today but should be picked up by the newer modules).,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110458,All video autoplay settings for new modules should follow the same Manual suite as the mixed feed,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,All video autoplay settings for new modules should follow the same Manual suite as the mixed feed.  In addition the mixed feed should start respecting the autoplay feature available on the individual article and video.,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110459,Conviva and adobe analytics should be consistent with home for autoplay videos,,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,Conviva and adobe analytics should be consistent with home for autoplay videos with the exception of where the video is played from.,,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C32110460,"All analytics for opening an article,video, vsm content should remain consistent",,Marco Osuna,11/16/23 14:23,,,,,,2 - Medium Priority,,Additional,0,,"All analytics for opening an article,video, vsm content should remain consistent with what we are using today including the ""News"" in the path as defined in contentful analytics field.",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:23
C34199171,surfaceCollection call fails w/ analytics,,Greg Caron,10/28/24 15:19,,"THEN the default surface collection loads
AND surface.slug will be set to ""news-fallback"" in calls to Adobe analytics for the News",,,GIVEN a user on the MLB App,2 - Medium Priority,"MLBAPP-2584, MLBAPP-2706",Additional,0,,"WHEN News is loaded
AND the surfaceCollection api call fails",,,,News Feed,S647397,Manual,Greg Caron,11/18/24 14:23
C32110461,Section title,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN the module is configured with a section title field
WHEN the business updates the title in the configured section
THEN the updated title should be displayed in the module
AND the update should not require a release""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110462,"Displaying Timestamps - Invalid, content has no timestamp flag",,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN there is content with timestamps flag on
THEN the timestamps should be visible""",,,,News Feed,S647397,Manual,Greg Caron,5/12/25 17:44
C32110463,Configurable Field for Timestamp to Author Transition on Articles,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN there is an article with a timestamp flag on
WHEN 24 hours pass since the article was published
THEN the content should transition to display the author name instead of the timestamp""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110464,Timestamps Always Displayed for Video Content,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN there is video content with timestamps flag on
THEN the timestamps should always be visible
AND the timestamps should not transition to display author names when 24 hours pass since publish""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110465,"Displaying Only Timestamp when Timestamp is Disabled - Invalid, content has no timestamp flag",,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN there is content with timestamps flag off
THEN only the timestamp should be visible
AND the timestamps should not transition to display author names when 24 hours pass since publish""",,,,News Feed,S647397,Manual,Greg Caron,5/12/25 17:42
C32110466,Accept Featured Article,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN the module is configured to display Featured article
THEN the featured article should have a larger visual treatment""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110467,Supporting a Minimum of 4 Content Pieces,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN there are at least 4 articles available for display
THEN the module should display exactly 4 content pieces
AND the module should not break if there are exactly 4 articles
AND the module should not break if there are more than 4 articles""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110468,Displaying First Video in the Article as the Featured Item,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN there is an article with embedded videos
AND the featured flag is set to true for the article
AND the autoplay flag is set to true for the article
THEN the first embedded video in the article should be displayed as the featured item""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110469,Opening an article by tapping within the bounding box,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN the user is on the news tab
WHEN the user taps within the bounding box of an article (e.g., the thumbnail, the headline, the timestamp area)
THEN the article webview should be opened""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110470,Opening a video by tapping on a video thumbnail attached to an article,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN the user is on the news tab
AND there is an article with a video attached
WHEN the user taps on the video thumbnail
THEN the video player should be launched""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110471,Opening an article by tapping on the headline of a featured item showing a video,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN the user is on the news tab
AND there is an article with a video attached as the featured item When the user taps within the bounding box of the article (excluding the video area)
THEN the article webview should be opened.""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110472,Accepting Only Videos and Articles as Content Options - Invalid VSM and Short are valid options,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/trio (3),0,,"""GIVEN the module is configured to display content
AND there are various content options available, including articles, videos, and tap stories
THEN only videos and articles should be selectable as content options
AND tapping on a cell should not unexpectedly launch a tap story""",,,,News Feed,S647397,Manual,Greg Caron,5/12/25 17:34
C32110473,Section title,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/quartet (4),0,,"""GIVEN the module is configured with a section title field
WHEN the business updates the title in the configured section
THEN the updated title should be displayed in the module
AND the update should not require a release""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
C32110474,Displaying Timestamps,,Marco Osuna,11/16/23 14:24,,,,,,2 - Medium Priority,,News Surface/quartet (4),0,,"""GIVEN there is content with timestamps flag on
THEN the timestamps should be visible""",,,,News Feed,S647397,Manual,Marco Osuna,11/16/23 14:24
